sehir,isim,adres
 İSTANBUL, BAHAT OTOPARK," İSMETPAŞA MAH. 48/1 SOKAK NO:6     
 İSTANBUL, BAHARİYE OTOPARK," EYÜP MERKEZ MAH. ESENEVLER SOK.  NO:27     
 KOCAELI, BAHARİYE CAD.," ÇUKURBAĞ MAH. BAHARİYE CAD.     
 SAMSUN, BAHARİYE," ZAFER MAH. BAHARİYE CAD. NO:13     
 SAMSUN, BAHA," KALE MAH. BAHA SOKAK     
 İSTANBUL, BAĞDAT OCAKBAŞI MÜŞTERİ PARK ALANI," İSTİKLAL MAH. GAMSIZ SOKAK     
 İSTANBUL, BAĞCILAR ŞOFÖRLER ESNAF ODASI OTOPARKI," ÇINAR MAH. 8 SOKAK     
 İSTANBUL, BAGOZZA," 19.MAYIS MAH. OPERATÖR RAİF BEY SOKAK NO:14     
 SAMSUN, BADALIOĞLU," FEVZİ ÇAKMAK MAH. AZİZİYE CAD.     
 İSTANBUL, AYYILDIZ OTOPARK," GAYRETTEPE MAH. YILDIZ POSTA CAD.     
 İSTANBUL, AYVANSARAY CADDESİ," AYVANSARAY MAH. AYVANSARAY CAD.     
 İSTANBUL, AYPARK OTOPARK," MEHMET NESİH ÖZMEN MAH. E-5 KARAYOLU NO:69     
 İSTANBUL, AYMERKEZ," MİMAR SİNAN MERKEZ MAH. E5 KARAYOLU AYMERKEZ   
 İSTANBUL, AYHAN ŞAHENK KAPALI OTOPARK," DARÜŞŞAFAKA MAH. DARÜŞŞAFAKA CAD.     
 İSTANBUL, AYHAN OTOPARK," KARTALTEPE MAH. DİLEK SOK. NO:11     
 İSTANBUL, AYHAN," MERKEZ MAH. MORLALE SOK.  NO:5 D:A     
 İSTANBUL, AYGÜN APARTMANI," HÜRRİYET MAH. GÜNGÖREN SOKAK NO:9 DAİRE:1     
 ESKIŞEHIR, AYDINLAR OTOPARK," HOŞNUDİYE MAH. AMBARLAR SOKAK  NO:11     
 DENIZLI, AYDIN OTOPARK," SARAYLAR Mah. 496. SOKAK NO:9    
 ANKARA, AYDIN OTOPARK," ANAFARTALAR MAH. TÜRKOCAĞI SOKAK     
 İSTANBUL, AYDIN OTOPARK," MERKEZ MAH. PERİHAN SOKAK NO:105 D:A     
 ADANA, AYDIN OTOPARK," ÇINARLI MAH. 61003 SOKAK NO:10     
 İSTANBUL, AYDIN İŞ HANI," HÜRRİYET MAH. SÜMBÜL SOKAĞI NO:7     
 SAKARYA, AYDIN," PAPUÇÇULAR MAH. DEĞİRMENHAN SOKAK     
 ANKARA, AYDEDE OTOPARK," KIZILAY MAH. ELGÜN SOKAK NO:11 D:A     
 İSTANBUL, AYÇİN OTOPARKI," GÜNEŞLİ MAH. AYÇİN SOKAK NO:1 212 AVM   
 İSTANBUL, ARSLAN OTOPARK," MECLİS MAH. BARBAROS CAD. NO:15     
 SAKARYA, ARSLAN," CUMHURİYET MAH. SERPİL SOKAK NO:24 D:A     
 İSTANBUL, ARPALI OTOPARK," FEVZİ ÇAKMAK MAH. 1113. SOK.  NO:2 D:A     
 İSTANBUL, ARNAVUTKÖY OTOPARK," ARNAVUTKÖY MAH. KİREÇHANE SOK.  NO:32     
 İSTANBUL, ARMADA OTOPARK," CANKURTARAN MAH. AHIRKAPI CAD.     
 İSTANBUL, ARKHEON  SİTESİ," ULUS MAH. OKUL YOLU SOK.  NO:49     
 İSTANBUL, ARKADAŞ OTOPARK," YILDIZTEPE MAH. BAĞCILAR CAD. NO:48     
 MERSIN, ARKADAŞ OTO PARK," ÇANKAYA MAH. 4711. SOKAK NO:16 D:D     
 DÜZCE, ARGUN AÇIK OTOPARK," CEDİDİYE MAH. M.ZAHİD EL KEVSERİ SOKAK NO:15    
 İSTANBUL, ARENA OTOPARKI," İNÖNÜ MAH. ELMADAĞ CAD. NO:28     
 MERSIN, ARDIÇ OTO PARK," BAHÇE MAH. 4608. SOKAK NO:11     
 BOLU, ARÇELİK," YUKARISOKU MAH. HAMZABEY SOKAK NO:2    
 ISPARTA, ARACI OTO PARK," GÜLEVLER MAH. 2021. SOKAK NO:103    
 İSTANBUL, APCOA AKARETLER OTOPARKI," SİNANPAŞA MAH. ŞAİR NEDİM SOKAK NO:20 DAİRE:F     
 ANTALYA, ANTALYA CAD.," YUKARI HİSAR MAH. ANTALYA CAD. NO:48 D:D     
 ANKARA, ANSERA," AZİZİYE MAH. PORTAKAL ÇİÇEGİ SOKAK NO:19     
 MUĞLA, ANS OTOPARK İŞLETMELERİ," ŞEYH MAH. İSMET İNÖNÜ CAD. NO:6 ZİHNİ DERİN ALIŞVERİŞ MERKEZİ   
 ANKARA, ANKARA TRAFİK VAKFI," ETİ MAH. ALİ SUAVİ SOKAK NO:53     
 MERSIN, ANKARA OTO PARK," ÇANKAYA MAH. 4711. SOKAK NO:16 D:D     
 ANKARA, ANKAMALL AVM OTO PARK," VARLIK MAH. TRAKYA CAD. NO:1 ANKAMALL AVM   
  YENİMAHALLE
 ANKARA, ANKAMALL AVM OTO PARK," VARLIK MAH. MEVLANA BULVARI NO:1 ANKAMALL AVM   
 ZONGULDAK, ANIT KAFE OTOPARK," İNCİVEZ MAH. MİLLİ EGEMENLİK CAD. NO:30    
 ANKARA, ANIT," DOĞANBEY MAH. ÇANKIRI CAD. NO:63 D:H     
 ANKARA, ANIT," DOĞANBEY MAH. DEMİR CAD. NO:1     
 İSTANBUL, ANGEL OTOPARK," TARABYA MAH. DEREİÇİ SOKAĞI NO:51     
 ANKARA, ANAFARTALAR CAD.," ANAFARTALAR MAH. ÇANKIRI CAD. NO:24     
 ANKARA, ANAFARTALAR CAD.," ANAFARTALAR MAH. M.A CAD. NO:2     
 İZMIR, ANAFARTALAR CAD.," YENİGÜN MAH. ANAFARTALAR CAD. NO:880     
 İSTANBUL, ANADOLU OTOPARK," MUSTAFA KEMAL PAŞA MAH. ÇETİN SOKAĞI NO:40     
 İSTANBUL, AMERİKAN HASTANESİ,"
 MALATYA, AYAZ OTOPARK," AKPINAR MAH. ZALOĞLU SOKAK NO:7    
 İSTANBUL, AYAS OTOPARK," MERKEZ MAH. HASBAHÇE CAD. NO:4 D:B     
 İSTANBUL, AVŞAR OTOPARK," KARTALTEPE MAH. FAİK KÖKSAL SOKAĞI     
 ANTALYA, AVSALLAR BELEDİYESİ OTOPARKI," MERKEZ/MUMCULAR MAH. SÖĞÜT CAD.     
 MERSIN, AVKAR OTOPARK," CAMİ ŞERİF MAH. URAY CAD. NO:32     
 İSTANBUL, AVICENNA OTOPARK," MENDERES MAH. 310. SOK.  NO:25     
 İSTANBUL, AVCILAR İDO İSKELESİ,"
 İSTANBUL, AVCI OTOPARK," MİMAR SİNAN MAH. MİMAR SİNAN CAD. NO:168     
  ÇEKMEKÖY
 İSTANBUL, AVCI ÇAYILI OTOPARK," MECİDİYEKÖY MAH. DEREBOYU CAD. NO:90 D:B     
 ANKARA, AMBROSIA," KIZILIRMAK Mah. 1460. SOKAK  NO:18 AMBROSIA ÇARŞI   
 İSTANBUL, AMBARLAR CAD.," SEYİTNİZAM MAH. AMBARLAR CAD.     
 İSTANBUL, ALTINPINAR OTOPARK," MERKEZ MAH. RESIT PASA CAD. NO:57 DAİRE:A     
 İSTANBUL, ALTINOVA KAPALI GARAJI," ICADIYE MAH. CEMİL MERİÇ SOKAĞI NO:4     
 İSTANBUL, ALTI KARDEŞLER OTOPARK," ZÜHTÜPAŞA MAH. REŞİTPAŞA SOK. NO:9     
 İSTANBUL, ALTAY," CERRAHPAŞA MAH. KOCAMUSTAFAPAŞA CAD. NO:94     
 İSTANBUL, ALSANCAK SOKAĞI," SOĞANLI MAH. ALSANCAK SOKAĞI NO:19 DAİRE:A     
 İZMIR, ALSANCAK KATLI OTOPARK," ALSANCAK MAH. 1475 SOK. NO:1     
 İZMIR, ALSANAYİCAK YERALTI OTOPARKI," MİMARSİNAN MAH. ZİYA GÖKALP CAD.     
 İSTANBUL, ALPEREN OTOPARK," İSTİKLAL MAH. CAMİ ÇIKMAZ SOKAK NO:10     
 KAYSERI, ALMER AVM," GEVHERNESİBE MAH. İSTASYON CAD. NO:3     
 İSTANBUL, ALKIŞ OTOPARK," GÜLTEPE MAH. ALKIŞ SOK. NO:12     
 DIYARBAKıR, ALİ OTOPARK," CAMİ NEBİ MAH. GAZİ CAD. NO:66 DAİRE:A    
  SUR
 İSTANBUL, ALİ GALİP OTOPARK," MERKEZ MAH. ALİ GALİP BEY CAD. NO:9     
 İSTANBUL, ALİ DEMİR OTOPARKI," MECİDİYE MAH. ÇARŞIAĞASI SOK.  NO:17     
 İSTANBUL, AUTOWAX," KÜLTÜR MAH. SEKBANLAR SOK.      
 MALATYA, AUTOPARK," B.HÜSEYİNBEY Mah. CEZMİ KARTAY CAD.  NO:56    
 İSTANBUL, AUTO WAX OTOPARK," AKAT MAH. YAREN SOK.  NO:6 D:23     
 MALATYA, AUTO-MAX," ŞİFA Mah. TERMİNAL CAD.  NO:21    
 İSTANBUL, ATLAS HASTANESİ OTOPARK," İSTİKLAL MAH. GAMSIZ SOKAK     
 DIYARBAKıR, ATLAS," KOOPERATİFLER MAH. KURTİSMAİL PAŞA 7. SOKAK NO:11 D:A    
 İSTANBUL, ATLANTİS OTOPARK," YENİŞEHİR MAH. OSMANLI BULVARI NO:7 ATLANTİS AVM   
 İSTANBUL, ATİRUS," FATİH MAH. CENGİZ TOPEL CAD. NO:40 ATIRUS   
 İSTANBUL, ATİK OTOPARK," HAZNEDAR MAH. HEYBELİ CAD. NO:7 D:A     
 İSTANBUL, ATİK HAMAMI SK OTOPARK," KOCAMUSTAFAPAŞA MAH. ATİK HAMAMI SOK.  NO:15     
 İSTANBUL, ATEŞ OTOPARK," TELSİZLER MAH. ATEŞ SOK. NO:2     
 İSTANBUL, ATATÜRK OTOPARKI," CUMHURİYET MAH. ATATÜRK BULVARI     
 HATAY, ATATÜRK OTOPARKI," YENİŞEHİR MAH. ATATÜRK BULVARI NO:16    
 İSTANBUL, ATATÜRK OLİMPİYAT STADI,"
  acik
 İSTANBUL, ATATÜRK CADDESİ," ALİBEYKÖY MAH. ATATÜRK CAD.     
 MUĞLA, ATATÜRK CAD. OTOPARK," İSKELE/DATÇA MAH. ATATÜRK CAD. NO:3     
 İSTANBUL, ATATÜRK BULVARI 2,"
 İSTANBUL, ATATÜRK BULVARI 1,"
 İSTANBUL, ATATÜRK BULVARI," BARIŞ MAH. ATATÜRK BULVARI     
 İSTANBUL, ATATÜRK AVM PLUS," ATAKÖY 7.8.9.10. MAH. ADNAN KAHVECİ BULVARI     
 İSTANBUL, ATAŞEHİR BULVARI,"
 İSTANBUL, ATAŞ," TANTAVİ MAH. SUİŞ CAD. NO:21     
 DENIZLI, ATALAR OTOPARK," ATALAR MAH. 962. SOKAK NO:12    
 ANKARA, ATAKULE," GÜZELTEPE MAH. C CAD. NO:108 ATAKULE   
 İSTANBUL, AT MEYDANI RAMAZAN,"
 İSTANBUL, AŞIR EFENDİ CAD. ,"
 DENIZLI, AŞIKÇI OTOPARK," SARAYLAR Mah. 496. SOKAK NO:8    
 KASTAMONU, ASOTOPARK YEDEMIN DEPOSU VEGARAJı," memet akifersoy mah sinandere mevki taşköprü yol üzeri
  37100 
 İSTANBUL, ASMALI ÇEŞME SOKAK,"
   FATİH 
 İSTANBUL, ASLI OTOPARK," ÇAĞLAYAN MAH. VATAN CAD. NO:90 D:A     
 İSTANBUL, ASIR OTO," CENNET MAH. MİMAR SİNAN CAD. NO:22     
 ZONGULDAK, ASIM OTOPARK," MEŞRUTİYET MAH. HUZUR SOKAK NO:8    
 İSTANBUL, ASENA OTOPARK," MERKEZ MAH. ESEN SOKAK NO:4 D:A     
 ANKARA, ASELSAN," MEHMET AKİF ERSOY MAH. 296. CAD.     
 İSTANBUL, ASARİYE OTOPARK," YILDIZ MAH. ASARİYE SOK.  NO:32-34     
 İSTANBUL, ASARİYE CAMİ OTOPARK," YILDIZ MAH. ASARİYE CAMİ ÇIKMAZI SOK.  NO:4     
 İSTANBUL, ARZUM OTOPARK," MECİDİYEKÖY MAH. ATAKAN SOKAK NO:5 D:B     
 İSTANBUL, ALEMDAĞ OTOPARK," MECLİS MAH. ALEMDAĞ CAD. NO:29     
 İSTANBUL, ALEMDAĞ CAD. OTOPARK," NECİP FAZIL MAH. ALEMDAĞ CAD.     
 İSTANBUL, ALEMDAĞ CAD. ,"
 İSTANBUL, ALBİ KAPALI OTOPARK," GÖZTEPE MAH. DR.RIFATPASA SOK. NO:3 D:A     
 ANKARA, ALBAYRAK SOKAK," KARARGAHTEPE MAH. ŞEHİT SAVAŞ BIYIKLI SOKAK NO:47 D:A     
  KEÇİÖREN
 ANTALYA, ALANYA SPOR OTOPARKI," KIZLAR PINARI MAH. STAD CAD.     
 BALıKESIR, ALANKUYU OTOPARKI," KARESİ MAH. ALANKUYU SOKAK NO:32    
 İSTANBUL, ALAATTİN ELMAS OTOPARKI," H.EDİP ADIVAR MAH. ALAATTİN ELMAS SOKAĞI     
 ZONGULDAK, AKTAŞ OTOPARK," MEŞRUTİYET MAH. HUZUR SOKAK NO:42    
 İSTANBUL, AKSU OTOPARK," MECİDİYEKÖY MAH. SELAHATTİN PINAR CAD. NO:20 D:D     
 İSTANBUL, AKSU OTOPARK," FEVZİ ÇAKMAK MAH. EMRE SOKAĞI NO:34 DAİRE:A     
 İSTANBUL, AKSİT PLAZA OTOPARK," GAYRETTEPE MAH. AYAZMA DERESİ SOKAK NO:12 DAİRE:A     
 İSTANBUL, AKSARAY CAD. ,"
 İSTANBUL, AKPINAR OTOPARKI," KOCATEPE MAH. AKPINAR CAD. NO:1 FORUM İSTANBUL AVM   
 İSTANBUL, AKPARK OTOPARK," SOĞANLI MAH. SOKULLU SOKAĞI     
 İSTANBUL, AKMAZÇEŞME SOKAK," SİNANPAŞA MAH. AKMAZ ÇEŞME SOKAK NO:19     
 İSTANBUL, AKKÖYUNLU OTOPARKI," MOLLA GÜRANİ MAH. AKKOYUNLU SOK.  NO:17     
 İSTANBUL, AKKAN OTOPARK," TEŞVİKİYE MAH. DERYADİL SOKAK NO:95 D:A     
 İSTANBUL, AKINCILAR OTOPARK," AKINCILAR MAH. ÇUKUROVA SOK.  NO:25     
 İSTANBUL, AKINCI BAYIRI SOKAK,"
   ŞİŞLİ 
 YALOVA, AKIN OTOPARK," GÖKÇE DERE MAH. TERMAL SOKAK NO:5    
 İSTANBUL, AKHANLAR KAPALI OTOPARK VE YIKAMA," HÜRRİYET MAH. FUNDA SOK. NO:6     
 İSTANBUL, AKGÜN OTOPARK," KARTALTEPE MAH. SEFALI SOKAK NO:10     
 İSTANBUL, AKDOĞAN SOK. ," CİHANNUMA MAH. AKDOĞAN SOK.      
 MERSIN, AKDENİZ OTOPARK," CAMİ ŞERİF MAH. 5225. SOKAK NO:17     
 İSTANBUL, AKDENİZ CAD. ,"
 KOCAELI, AKÇA CAMİ CAD.," ÇUKURBAĞ MAH. KÜCÜK HAMAM CAD.     
 İSTANBUL, AKARSU YOKUŞU SOKAK," KILIÇALİ PAŞA MAH. AKARSU YOKUŞU SOKAK NO:18     
 MERSIN, AKAR KAPALI OTOPARK," MESUDİYE MAH. 5121. SOKAK NO:6     
 DIYARBAKıR, AK OTOPARK," YENİŞEHİR MAH. ALİ EMİRİ 1. SOKAK NO:14 DAİRE:A    
 İSTANBUL, AK AL KATLI OTOPARK," HOCA ÜVEYZ MAH. AKDENİZ CAD.     
 İSTANBUL, AHMET YESEVİ CAD.," HÜRRİYET MAH. AHMET YESEVİ CAD. NO:2     
 İSTANBUL, AHMET KÜTSİ TECER CAD.,"
    GÜNGÖREN 
 İSTANBUL, AHMET HAŞİM CAD.," SOĞANLI MAH. AHMET HAŞİM CAD.     
 İSTANBUL, AHMET FETGERİ-CAMİİ SOKAK,"
 İSTANBUL, AHMET ARİF CADDESİ," ÖRNEK MAH. AHMET ARİF CAD. NO:59 D:A     
 KıRŞEHIR, AHMEDİ GÜLŞEHRİ OTOPARKI," AHİEVRAN MAH. AHMEDİ GÜLŞEHRİ CAD. NO:8    
 MERSIN, AĞAOĞLU KAPALI OTOPARK," CAMİ ŞERİF MAH. 5217. SOKAK NO:13     
 İSTANBUL, AĞAM," KOCAMUSTAFAPAŞA MAH. ORG. ABDURRAHMAN NAFİZ GÜRMAN CAD. NO:72     
 İSTANBUL, AĞA YOKUŞU CAD. ,"
 İSTANBUL, ADNAN KAHVECİ BULVARI," BAHÇELİEVLER MAH. ADNAN KAHVECİ BULVARI NO:68     
 ANTALYA, ADLİYE SOKAK OTOPARKI," HACET MAH. ADLİYE CAD.     
 KOCAELI, ADLİYE CAD.," HACIHALİL MAH. ADLİYE CAD. NO:28     
  GEBZE
 KOCAELI, ADİL ÇELİK SOKAK," CEDİT MAH. AZİZ YILDIZ SOKAĞI NO:8     
 İSTANBUL, ADEM BABA ÖZEL OTOPARK," ARNAVUTKÖY MAH. OĞUL SOK.  NO:5     
 MERSIN, ADANA BULVARI," ŞEHİTKERİM MAH. ADANA BULVARI     
 AYDıN, ADALIOĞLU OTOPARK," HACIFEYZULLAH Mah. ADALIOĞLU SK.   NO:2     
  KUŞADASI
 İSTANBUL, ADA OTOPARK," ALTUNIZADE MAH. OYMACI SOKAK     
 SAKARYA, ADA BULVAR," TIĞCILAR MAH. DÖNER GEÇİT SOKAK NO:7 D:.     
 MERSIN, ADA AÇIK OTOPARK," GÜVENEVLER MAH. 1912. SOKAK     
 ANTALYA, AÇIL OTOPARK," BALBEY MAH. 424. SOKAK NO:13 D:A     
 ANKARA, AÇIKEL SOKAK," ZİRAAT MAH. AÇIKEL SOKAK NO:8     
 MERSIN, AÇIK OTOPARK," İHSANİYE MAH. 4909 SOKAK NO:6     
 MERSIN, AÇIK OTOPARK," İHSANİYE MAH. 4927 SOKAK NO:6     
 DÜZCE, AÇIK OTOPARK," ŞEREFİYE MAH. ŞEHİT RUHSAR CAD. NO:9    
 DÜZCE, AÇIK OTOPARK," CAMİ KEBİR Mah. ŞEN SOKAK NO:3    
 MUĞLA, AÇIK OTOPARK," GÜMBET MAH. HÜSEYİN ZENGİN SOK.  NO:14     
 ADANA, ACEM OTOPARK," TEPEBAĞ MAH. CEMAL GÜRSEL CAD. NO:7     
 BALıKESIR, ABUL OTOPARK," YILDIRIM Mah. 38_CUMHURIYET CAD.  NO:29 D:C    
 İSTANBUL, ABİDE-İ HÜRRİYET CAD. ,"
 İSTANBUL, ABDULLAH AĞA HAMAMI SOKAK," BEYLERBEYI MAH. ABDULLAH AĞA HAMAMI SOKAK NO:15     
 DIYARBAKıR, ABDİ OTOPARK," YENİŞEHİR MAH. LİSE CAD. NO:25 DAİRE:B    
 İSTANBUL, ABDİ İPEKÇİ CAD.," HARBİYE MAH. ABDİ İPEKÇİ CAD. NO:61 D:C REASURANS ÇARŞISI   
 MERSIN, ABDİ İPEKCİ CAD.," ŞEHİTKERİM MAH. ABDİ İPEKCİ CAD.     
 İSTANBUL, ABAY OTOPARK," MECİDİYE MAH. MUVAKKİT SOK.  NO:6 D:C     
 İSTANBUL, ABAY AÇIK OTOPARK," MECİDİYE MAH. ÇARŞIAĞASI SOK.  NO:10     
 İZMIR, 860 SOK.," KONAK MAH. 860 SOK.     
 İZMIR, 853 SOK.," KONAK MAH. 853 SOK. NO:31 D:C     
 İZMIR, 853 SOK.," KONAK MAH. 853 SOK.     
 İSTANBUL, 80/1. SOKAK," TELSİZ MAH. 80/1 SOKAK     
 İSTANBUL, 8/5 SOKAK," BARBAROS MAH. 8/5 SOKAK     
 KAHRAMANMARAŞ, 77066. OTOPARKI," YUSUFLAR MAH. 77066. SOKAK NO:7    
 İZMIR, 76.SOKAK," GÖZTEPE MAH. MİTHATPAŞA CAD. NO:907     
 İSTANBUL, 74 SOKAK," YÜZYIL MAH. 74 SOKAK     
 ANKARA, 701. SOKAK," HİLAL MAH. 701. SOKAK NO:22     
 ANTALYA, 7. SOKAK," ELMALI MAH. 7. SOKAK NO:27     
 İSTANBUL, 66 OTOPARK," KAZIM KARABEKİR MAH. 1022. SOK.  NO:1     
 ANTALYA, 6020. SOK.," MİMAR SİNAN MAH. 6020. SOK. NO:2     
 İZMIR, 56. SOKAK," GÜZELYALI MAH. 56. SOKAK NO:82     
 İSTANBUL, 500 EVLER," HÜRRİYET MAH. RUMELI CAD. NO:43     
 DENIZLI, 497. OTOPARKI," SARAYLAR MAH. 497. SOKAK NO:18    
 ANTALYA, 4605. SOK.," AŞAĞI HİSAR MAH. 4605. SOK. NO:2     
 İSTANBUL, 5. BLOK OTOPARKI," SEYİTNİZAM MAH. AMBARLAR CAD.     
 MUĞLA, 36.SOK.," TEPE MAH. 36. SOK. NO:29     
 ANTALYA, 3707. SOK.," YEŞİLYURT MAH. 3707. SOK. GALERİCİLER SİTESİ   
 ANTALYA, 4331. SOK.," YEŞİLYURT MAH. 4331. SOK. NO:6 D:A     
 BALıKESIR, 38_KAYA OTOPARKI," YILDIRIM Mah. 38_KAYA SOKAK NO:4 D:A    
 İSTANBUL, 37 KÖY'ÜN OTOPARK," ORTAKÖY MAH. BULGURCU SOK.  NO:46     
 BALıKESIR, 38_BALAKAN OTOPARKI," YILDIRIM Mah. 38_BALAKAN SOKAK NO:14 D:A    
 MERSIN, 3509. SOKAK," ŞEHİTMUSTAFA MAH. 3509. SOKAK     
 ADANA, 35019 SOKAK," HANEDAN MAH. 35019. SOKAK NO:23     
 MERSIN, 3501. SOKAK," ŞEHİTMUSTAFA MAH. 3501. SOKAK     
 ADANA, 35009 SOKAK," HANEDAN MAH. 35009. SOKAK NO:6     
 ADANA, 32004 SOKAK," KOCAVEZİR MAH. 32004. SOKAK NO:14     
 KOCAELI, 3027 SK," EMEK MAH. 100.YIL SOKAK NO:2     
 İSTANBUL, 29 EKİM OTOPARKI," YENİBOSNA MERKEZ MAH. 29 EKİM CAD. NO:1 KUYUMCUKENT   
 ANKARA, 278 OTOPARK," BAHÇELİEVLER MAH. 278. SOKAK NO:3     
  GÖLBAŞI
 İSTANBUL, 270. SOK. ," HÜRRİYET MAH. 270. SOK.  NO:8 D:A     
 ADANA, 26001 SOKAK," KAYALIBAĞ MAH. 26001. SOKAK NO:5 D:A     
 İSTANBUL, 256. SOK. ," HÜRRİYET MAH. 256. SOK.  NO:12     
 İSTANBUL, 24 SAAT AÇIK OTOPARK," GÜLTEPE MAH. D-100 (E-5) KARAYOLU NO:35     
 HATAY, 23 TEMMUZ OTOPARK," CEBRAİL MAH. ATATÜRK CAD. NO:15 D:MAH.    
 MUĞLA, 228 SOK. OTOPARK," ÇILDIR MAH. 228 SOK. NO:3     
 İSTANBUL, 2. SK OTOPARK," YENİ SANAYİ MAH. 2. CADDE     
 ANKARA, 19 MAYIS OTOPARKI," DOĞANBEY MAH. CUMHURİYET BULVARI NO:3 D:D     
 İSTANBUL, 19 MAYIS AÇIK,"
 İSTANBUL, 18 SOKAK," YÜZYIL MAH. 18 SOKAK NO:9     
 İZMIR, 1407. SOKAK," KÜLTÜR MAH. 1407. SOKAK NO:7     
 İZMIR, 1308. SOKAK," YENİGÜN MAH. 1308 SOKAK NO:11     
 İZMIR, 1303. SOKAK," YENİGÜN MAH. 1303. SOKAK NO:7     
 İZMIR, 1301. SOKAK," HURŞİDİYE MAH. 1301. SOKAK NO:43     
 İSTANBUL, 1298. SOKAK," ZÜBEYDE HANIM MAH. 1298. SOKAK NO:3     
 İZMIR, 1250. SOKAK," OĞUZLAR MAH. 1250. SOKAK     
 ANTALYA, 122.SOKAK," DENİZ MAH. 122. SOKAK     
 BALıKESIR, 12 SALİH TOZAN OTOPARKI," ESKİ KUYUMCULAR MAH. 12 SALİH TOZAN CAD. NO:8    
 BALıKESIR, 12 IŞTINLI OTOPARKI," ESKİ KUYUMCULAR MAH. 12 IŞTINLI SOKAK NO:9 D:A    
 ISPARTA, 117. OTOPARKI," GAZİ KEMAL MAH. 117. CAD. NO:16    
 ANTALYA, 1140 SOK.," UNCALI MAH. 1140 SOK. NO:24 D:A     
  KONYAALTI
 İSTANBUL, 1094. SOK. ," BARBAROS HAYRETTİNPAŞA MAH. 1094. SOK.  NO:20     
 İSTANBUL, 1016. SOK. ," BARBAROS HAYRETTİNPAŞA MAH. 1016. SOK.  NO:25     
 İSTANBUL, 101. SOK. ," NİNE HATUN MAH. 101. SOK.  NO:4 D:A     
 ZONGULDAK, 100. YIL TAKSİ DURAĞI OTOPARKI," İNAĞZI MAH. GENÇLİK SOKAK NO:4    
 İSTANBUL, 10.SOKAK OTOPARKI," NURİPAŞA MAH. 10. SOKAK NO:10     
 İSTANBUL, 1/9 C SOKAK," BARBAROS MAH. 1/9 C SOKAK     
 İSTANBUL, 1/18. SOKAK," KAZIM KARABEKİR MAH. 1/18. SOKAK NO:9 DAİRE:A     
 İSTANBUL, 1.CADDE OTOPARK," ESENKENT MAH. 1. CADDE     
 MALATYA, 1. SOKAK 2. OTOPARKI," DABAKHANE MAH. 1. SOKAK NO:24    
 MALATYA, 1. SOKAK 1. OTOPARKI," DABAKHANE MAH. 1. SOKAK NO:14    
 İSTANBUL, 1. CADDE," YENİ SANAYİ MAH. 1. CADDE     
 MERSIN, 0803. SOKAK," CAMİNUR MAH. 0803. SOKAK     
 İSTANBUL,  ZEYTİNBURNU KATLI ,"
   ZEYTİNBURNU 
 İSTANBUL,  YILDIZ ÜNV.ÖNÜ ,"
   BEŞİKTAŞ 
 İSTANBUL,  YEŞİLKÖY MARİNA ,"
 İSTANBUL,  YEŞİLKÖY İSTASYON CAD. ,"
   BAKIRKÖY 
 İSTANBUL,  YEŞİLKÖY İSTANBUL CAD. ,"
 İSTANBUL,  YEŞİLKÖY ÇARŞI ,"
 İSTANBUL,  YEŞİLKÖY CEP ,"
 İSTANBUL,  ÜSKÜDAR DR. FAHRİ ATABEY CD. ,"
 İSTANBUL,  ŞİŞLİ TAŞKIŞLA CAD.  ,"
 İSTANBUL,  SAMATYA SAHİL ,"
 İSTANBUL,  REŞİTPAŞA CAD.  ,"
 İSTANBUL,  RAGIPGÜMÜŞPALA CAD.(OTOBÜS PARK.) ,"
 İSTANBUL,  POYRAZ AÇIK ,"
 İSTANBUL,  ÖĞRETMEN EVİ ,"
 İSTANBUL,  ORTABAHÇE CAD. ORTABAHÇE CAD. ,"
 İSTANBUL,  NİSPETİYE CAD. ,"
 İSTANBUL,  MİSBAH SOKAK,"
 İSTANBUL,  MEYDAN OTOPARKI-AKÇAM SOKAK,"
  levent
 İSTANBUL,  MENEKŞE PLAJI ,"
 İSTANBUL,  LEVENT GONCA SOKAK 2 ,"
 İSTANBUL,  LEVENT ÇARŞI ,"
 İSTANBUL,  KARAKÖY TDİ ,"
 İSTANBUL,  KADIRGA LİMANI ,"
 İSTANBUL,  İSLAMBEY CAD.  ,"
  GAZİOSMAPAŞA
 İSTANBUL,  HİDİV KASRI ,"
 İSTANBUL,  HASAN DOĞAN SPOR KOMPLEKSİ ,"
    KARTAL 
 İSTANBUL,  GÜNEŞ PLAJI 2 ,"
 İSTANBUL,  GÜNEŞ PLAJI 1 ,"
 İSTANBUL,  GONCA SOKAK ,"
 İSTANBUL,  GEDİKPAŞA KATLI ,"
 İSTANBUL,  FLORYA PLAJ CEP ,"
 İSTANBUL,  DUMLUPINAR CAD.  ,"
 İSTANBUL,  BEYOĞLU AÇIK OTOPARKI ,"
 İSTANBUL,  BEBEK ,"
 İSTANBUL,  BAYRAMPAŞA SEBZE- MEYVE HALİ ,"
   BAYRAMPAŞA 
 İSTANBUL,  BAYRAMPAŞA NUMUNEBAĞI CAD. ,"
 İSTANBUL,  BAYRAMPAŞA ABDİ İPEKÇİ CD. ,"
 İSTANBUL,  BAKIRKÖY AÇIK ,"
 İSTANBUL,  BAKIRKÖY ,"
