isim,tel,adres
Soho Et ve Balik Restaurant,4622072,Vanikoy Mah. Vanikoy Cad. No:77
CE Gurme,+(90)2122438908,Galipdede Sokak No:105/A Galata Beyoglu
SDS Garden,02122324857,Merkez Mah. Abide-i Hurriyet Cad.
Gaziantep Erenler Kebap,2177334,Kustepe Mah. Inonu Cad. No:51
Patess Kumpir,4785018,Bagdat Cad. Beyaz Akasya Sok. No:300 D:4
Ebyaz Pilavcisi,3273004,Ihlamurdere Cad. Misirli Sok. No:21/B
Datpınar Yemek Salonu,2442527,"İlk Belediye Cad. No:11 Tünel, Beyoğlu"
Etiler Marmaris Bufe,4886567,Basaksehir Mah. 5. Etap 2. Kisim Ertugrul Gazi Cad. No:23 D:25
Ekmek Arası,5530928,"Kışla Cad. No:29 Selimiye, Üsküdar"
Mıstık Marmaris Büfe,2744847,"Balmumcu Mah. Barbaros Bulv. Fuat Sarp Sok. No:2 D:2 Gayrettepe, Beşiktaş"
Damga Çiğ Köfte,4766654,"İsmet Paşa Mah. 54. Sok. No:1 Sultançiftliği, Sultangazi"
Ev Hali,"
",Cihangir mah. Kirazlı cad. No:51/1
Irmak Et Lokantası,6410150,İzzetin Çalışlar Cad. No:7/A Bahçelievler
Gulize Pide & Kebap,2579751,Ulus Mah. Oztopuz Cad. No:22/A
Furkan Et Lokantası,4556128,Atatürk Mah. Girne Cad. No:10 D:2 Ataşehir Merkez
Bizim Kanatçı,4700535,"Barbaros Mah. Evren Cad. No:1 Yeni Sahra, Ataşehir"
Gaziantep Kardesler Kebap,2225233,Halide Edip Adivar Mah. Balci Sok. No:7
Huzur Karadeniz Pide,4798996,Cumhuriyet Cad. No:205/A Çavuşbaşı
Toscana,3440535,Büyükdere Cad. Metrocity Alışveriş Merkezi No:171 K:-2 Levent
Altın Taş Büfe,2935410,Asmalımescit Mah. Asmalı Mescit Cad. No:2/A İstiklal
Doğu Karadeniz Pide Sarayı,2332426,Abidei Hürriyet Cad. No:225 Şişli Merkez
Cafe Liza Lokanta,2336536,Halaskargazi Cad. No:331 Şişli Merkez
Namsal Köfte Piyaz,2462513,"Zafer Sok. No:1 Çağlayan, Kağıthane"
Taş Kardeşler Et Lokantası,2805345,Emniyet Cad. No:9/B Kağıthane Merkez
Anadolu Lezzet Lokantası,2206560,Gürsel Mah. Şevket Paşa Cad. No:13 Zincirlikuyu
Dostlar Sulu Yemek,2179917,Selahattin Pinar Cad. No:23
Kumpircim Cafe,2892226,Hadim Koruyolu Sok. No:12/A
Ne Yesek,3441256,Büyükdere Cad. Metrocity Alışveriş Merkezi No:171 K:2 Levent
Hamarat Dolma,4674649,Şemsettin Günaltay Cad. Kamiller Sok. No:1 D:1 Erenköy
Kehribar Köfte Ve Ev Yemekleri,+(90)5334714502,Gokalp Mah. 40 Sok. No:4 Zeytinburnu
Antep Sofrasi,5040435,Guven Mah. Inonu Cad. No:18
Mir Has Iskender Kebapcisi,4304422,Birlik Mah. Atisalani Cad. No:141/B
Coban Et Mangal,4843535,Kirazlidere Mah. Havuz Sok. No:5-6
Fred's Chicken Rotisserie,6641664,Istiklal Sok. Optimum Outlet ve Eglence Merkezi No:10 K:3
Bursa İnegöl Köfte Salonu,2922386,Büyük Hendek Cad. No:62 D:1 Şişhane
Tarihi Biberoğlu Köfte,2496214,İstiklal Cad. Sadri Alışık Sok. No:20/A Taksim
AS Iskender Kebap,3880786,Altintepe Mah. Bagdat Cad. No:42 D:2
Donerci Bedri Usta,3463080,Buyukdere Cad. Dereboyu Sok. Nazmi Akbaci Ticaret Merkezi No:125
Bahcesehir Mersin Tantuni,6699533,Bahcesehir 2. Kisim Mah. Baris Sok. Hill Park Carsisi No:5 D:11
Doyum Kebap,3606804,Bagdat Cad. No:333
Kamelya Piknik,8138221,Huseyinli Koyu
Karadeniz Balıkçılık,3449291,Nata Yolu No:82 Üsküdar
Sisore,"
",Orhan Veli Kanık Cad. No : 84 Kavacik
Kepilla,0 (212) 872 44 66,Adnan Kahveci Mah. İstanbul Cad. Keleş Plaza No:1 D:7
İnci Dürüm ve Kebap Evi,2245515,Akkirman Sok. No:41/A Şişli
Riserva,212 2994141 - 212 2997878,Haydar Aliyev Cd No 196A Tarabya
Kılıç Ocakbaşı,0212 644 1626 ,Siyavuşpaşa Mah. Mustafa Kemal Paşa Cad. No:7
Öz Karadeniz Pide ve Kebap Salonu,5183676,"Gedik Paşa Cad. No:26/A Kumkapı, Fatih"
Öz Karadeniz Pide,2137460,"Selahattin Pınar Cad. No:13 Mecidiyeköy, Şişli"
Sultanahmet Köftecisi,6205665,Doğan Araslı Bulv. Recep Tayyip Erdoğan Parkı Esenyurt
Öz Karadeniz Pide,2224353,Gürsel Mah. Şevket Paşa Cad. No:3/B Kağıthane Merkez
Üç Kardeşler Lokantası,2226786,"Şevket Paşa Cad. No:3/A Çağlayan, Kağıthane"
Özsüt,3440910,"Büyükdere Cad. Metrocity Alışveriş Merkezi No:171 K:2 Levent, Beşiktaş"
Tadım Et Lokantası,2340054,"Çağlayan Mah. Sinan Paşa Cad. No:2 Çağlayan, Kağıthane"
Şafak Büfe,2405625,"Şafak Sok. No:64/F Halaskargazi, Şişli"
Kiraz Yemek,(0216) 393 4081,Ahmet Yesevi Mah. Hürriyet Cad. No:118
Hisar Büfe,2174314,"Büyükdere Cad. Elbir İş Hanı No:18 Mecidiyeköy, Şişli"
Umur 2 Karadeniz Pide,2330761,"Vatan Cad. Levent Sok. No:5/B Çağlayan, Kağıthane"
Yeşil Büfe Et Lokantası,2171650,"Mecidiye Cad. No:28/B Gayrettepe, Beşiktaş"
BTC Burger Türk,2726812,"Şehit Ertuğrul Kabataş Cad. Özlem Pasajı No:31 D:1 Mecidiyeköy, Şişli"
Köşem Dürüm Evi,3564455,"Gülbahar Cad. No:1 D:1/A Mecidiyeköy, Şişli"
Ada Köfte & Piyaz,2223391,"Kağıthane Cad. No:105 Çağlayan, Kağıthane"
Karadeniz Pide,2802113,"Talat Paşa Cad. No:61 D:2 Gültepe, Kağıthane"
Karadeniz Pide Salonu,2812117,"Harmantepe Mah. Talat Paşa Cad. No:276 Levent, Beşiktaş"
Şark Sofrası,2165642,"Selahattin Pınarı Cad. Nilüfer Apt. No:23 Gayrettepe, Beşiktaş"
Nazar Et Lokantası,3649347,"Yukarı Dudullu Mah. Alemdağ Cad. No:702 Yukarı Dudullu, Ümraniye"
Tarihi Beylerbeyi Restoran,3186701,"İskele Cad. D:1 Beylerbeyi, Üsküdar"
Onder Koftecisi,+(90)212-511-04-15,"tavukpazari sokak No:24 Cemberlitas , Fatih"
Hunkar,5320160,Kadir Has Universitesi Kadir Has Cad. Cibali Kampusu
Kırıktabak,0212 233 0821,Merkez Mh. Abide-i Hürriyet Cad. No:169/A
Pizza Pizza,3915082,Tunusbağ Cad. No:20 Üsküdar Merkez
Gaziantepli Nasrioglu Baklavalari,4294301,Oruc Reis Mah. Barbaros Cad. No:44
Burak Büfe,3154802,"10. Sok. No:1 Örnek, Ataşehir"
Yedikule Kale Restoran,6325399,"İlyas Bey Cad. No:133 Yedıkule, Fatih"
Efe Oglu Kebap,3064672,Koroglu Cad. Safak Sok. No:2
Tekel Bayi,2802358,Konaklar Mah. Akcam Sok. No:8 D:10
Ressam Durum Evi,3389453,Misaki Milli Sok. No:11
Karadeniz Sofrasi,479 7387,Cumhuriyet Cad. Ornek Is Hani D 158
Konak Et Lokantası,5752500,"Değirmen Yolu Cad. No:12 D:1 Küçükbakkalköy, Ataşehir"
Özyuva Et Lokantası,3648317,"Alemdağ Cad. No:820 Yukarı Dudullu, Ümraniye"
Komagene,5072500,Orhangazi Mah. İstiklal Cad. No:67
Komagene,6851250,Osmanlı Bulv. World Atlantis Alışveriş Merkezi No:117 K:2 D:134
Şirvanlı Gıda Kebap Salonu,3985059,Fatih Bulv. No:180/A Sultanbeyli Merkez
Iskender Kozyatağı,902162626033,"Kozyatağı Mahallesi Bayar Caddesi No:82/1, Kadıköy"
Emrah Doğan,"
",12-28 Buyuk Parmakkapi Sokak
City Yemek Evi,3440550,"Büyükdere Cad. Metrocity Alışveriş Merkezi No:171 K:2 Levent, Beşiktaş"
Komagene,5295003,Cerrah Paşa Mah. Başcı Mahmut Cami Sok. No:1 D:2
Marmaris Bufe,6961606,Dede Pasa Cad. Via/Port Outlet Alisveris Merkezi No:19 K:-1 D:8
Karabekir Lokantası,6315229,"Adem Yavuz Cad. No:198 Kazım Karabekir, Ümraniye"
Yoruk Kokorecci,5716084,Istasyon Cad. No:45
Öz Karadeniz Lokantası,5200144,"Atakent Mah. Mithat Paşa Cad. No:171 Atakent, Ümraniye"
Black Sea,2478247,"Matbaacı Osmanbey Sok. No:29 D:1 Osmanbey, Şişli"
Huzur Lokantası,6340165,Gümrükçüler Sanayi Sitesi D:10 Yukarı Ümraniye
Mavi Sofra,593 0312,Denizkoskler Mah. Dr. Sadik Ahmet Cad. No.168
Beymen Bej Restaurant,3456387,Pinar Mah. Istinye Bayiri Cad. IstinyePark Alisveris Merkezi K:4 D:476-477
Aslan Kardeşler Et Lokantası,3537276,Bayramlar İş Hanı No:6/B D:21 Kartal Merkez
Marmaris Bufe,6641019,Istiklal Sok. Optimum Outlet ve Eglence Merkezi No:10 K:3 D:145
Yesilova Restaurant,2025314,Sehitlik Mevki Kilyos Yolu No:12
Evim Manti,3546170,Bati Mah. Karanfil Sok. No:45
Kardesler Sofrasi,4917387,Ibni Sina Cad. No:31/B
Bereket Doner,6314543,Adnan Menderes Bulv. Historia Alisveris Merkezi No:2 K:3 D:313
Arby's,6641376,Istiklal Sok. Optimum Outlet No:10/4 K:3
Lagina Cafe & Restaurant,3801015,19 Mayis Mah. Sinan Ercan Cad. Mete Apt. No:29/B
Mersin Tantuni Salonu,4196250,75. Yil Mah. Istiklal Cad. No:27
Gell,2750838,Kasap Sok. No:2/A D:46
Pilavci Nuri Usta,4190317,75. Yil Mah. Fevzi Cakmak Cad. No:70
Gul Bufe,6592956,ISTOC Sanayi Sitesi 10. Ada D:56
Yusufun Yeri Ocakbaşı,2509021,"Piyale Paşa Mah. Piyale Paşa Cad. No:129/C Kasımpaşa, Beyoğlu"
Heskoop Ocakbasi,6700157,OSB Heskoop Sanayi Sitesi
Lazzaro Italian Cuisine,+(90)2122495133,Asmali Mescit Sokak No: 55 Beyoğlu
Mesk Miskinler Tekkesi Cafe & Restorant,+(90)5456780101,Ali Kuscu mah. Nalbant Demir sok. no 17/2 Fatih
Gözde Karadeniz Pide,4556196,Girne Cad. No:23 Ataşehir Merkez
Döner Dünyası,5690474,Kazım Karabekir Cad. No:48 Esenler Merkez
Arsamiea Genel Müdürlük,4765040,"Esentepe Mah. 2364. Sok. No:1 Sultançiftliği, Sultangazi"
Burger King,3232094,"İstinye Mah. Çayır Cad. CarrefourSA No:1 İstinye, Sarıyer"
Konak Burger,547 4362,Gokalp Mah. 51/3 Sok. No. 13
Hamurca Kastamonu Kır Pidesi,5722727,"Olgunlar Sok. İncirli Otopark No:22 D:1 Kartaltepe, Bakırköy"
Erdemler Gıda,5975854,Arnavutköy Merkez Mah. Fatih Cad. No:82/C Arnavutköy
Haci Hamdo Kebap ve Lahmacun Salonu,5832697,Osmaniye Mah. Cami Sok. No:32
Yakamoz Restaurant,618 6429,Yeni Mah. Cengiz Topel Cad. No.171 D 1
Çağdaş Lokanta,6470823,Mimar Sinan Mah. İstanbul Cad. No:28 Esenler Merkez
Pizzaline,5343511,"Hocaüveyz Mah. Akdeniz Cad. No:32 D:34 Akdeniz, Fatih"
Öz Tekkan Gıda,2848753,"Balmumcu Mah. Bestekar Şevki Bey Sok. No:2/A Gayrettepe, Beşiktaş"
Özsüt,3800780,Büyükdere Cad. İstanbul Cevahir Alışveriş ve Eğlence Merkezi No:22 K:5 D:532 Şişli Merkez
Puddra,2918359,Valikonagi Cad. No:36/B
Kardesler Bufe,6596014,ISTOC Sanayi Sitesi 13. Ada D:109
Sofram,4371524,"Kocatepe Mah. Kocatepe Cad. No:1 Yıldırım, Bayrampaşa"
Hisar Büfe,3433256,"Halaskargazi Cad. No:128/A Osmanbey, Şişli"
Voyvotoğlu Kebap,3531668,"Yunus Mah. Sanayi Cad. Ekonomi Sok. No:1 Topselvi, Kartal"
Mavi Gıda ve Et Lokantası,4820788,"Topkapı Ticaret Merkezi Çırpıcı Yolu 1A Blok D:320 Cevizlibağ, Bayrampaşa"
Saraykapı Saç Tava,5070769,"Güven Mah. İnönü Cad. No:38 Akıncılar, Güngören"
Havuzlu Bistro,549 4565,Aymakoop Ayakkabıcılar Sitesi D 1
Kumpirim,6641292,Istiklal Sok. Optimum Outlet ve Eglence Merkezi No:10 K:3 D:171
Uğur Büfe ve Çayocağı,5129007,"Balkapan Sok. Balkapan Han No:1 Tahtakale, Fatih"
Tastebar,2584647,"Süleyman Seba Cad. BJK Plaza K:Zemin D:4 Akaretler, Beşiktaş"
Hisar Büfe,6562660,"Bağlar Mah. Osman Paşa Cad. Gonca Sok. No:1 Hürriyet, Bağcılar"
Levent Marmaris Büfe,3248387,"4. Levent Akçam Sok. 6. Blok No:3 Levent, Beşiktaş"
Otantik Kumpir,3801159,Büyükdere Cad. İstanbul Cevahir Alışveriş ve Eğlence Merkezi No:22 K:5 D:358 Şişli Merkez
01 Adana Kebap Dürüm Evi,3742025,Yukarı Mah. Gevrek Sok. No:3 Kartal Merkez
Hacıbaba Lokantası,3654141,"Nato Yolu Cad. No:159/C Yukarı Dudullu, Ümraniye"
Tadım Köfte Salonu,3488449,"Neşet Ömer Sok. No:19/A Caferağa, Kadıköy"
Kumru Bufe,2592454,Sinan Pasa Mah. Sehit Asim Cad. No:27/A
Vatan Ocakbasi,6358375,Hocauveyz Mah. Kocasinan Cad. No:10/A
Patliycan,2588336,Muallim Naci Cad. No:120
Motta Brassie,6851212,Osmanli Bulv. World Atlantis Alisveris Merkezi No:117 K:1 D:65-66
Gia Cafe,5458686,Kalfa Cesme Sok. Validebag Sitesi
Merkez Balık Lokantası,5946443,"50.Yıl Mah. B Cad. No:76/A Sultançiftliği, Sultangazi"
Naregatsi,(212) 243 38 69,Sakizagaci Cd 3/1 Beyoglu
Gizem Kebap,6441635,"Keresteciler Sitesi Gül Adalı Sok. No:4/B K:1 Merter, Güngören"
Reis Lokantası,6122999,"Matbaacılar Sitesi C Blok D:24 Topkapı, Fatih"
Kaymaklar Lokantası,5422121,"Hallaç Hüseyin Sok. No:6 Cevizlik, Bakırköy"
Şark Sofrası,4180929,Merkez Mah. Salih Paşa Cad. No:44 Gaziosmanpaşa Merkez
Hanım Mutfağı,2633626,"Kültür Mah. Sevil Sok. No:1 Levazım, Beşiktaş"
Seydioğlu Lokantası,3114516,"Osmangazi Mah. Osman Gazi Cad. No:145/C Samandıra, Sancaktepe"
Sevinç Lokantası,4316935,"Havaalanı Mah. Fişek Sok. No:5 Atışalanı, Esenler"
Beyzade Kebap ve Lahmacun Salonu,4510318,"Gümüş Pınar Mah. Funda Sok. No:1 Yakacık, Kartal"
Karadeniz Pide Yemek Salonu,6218080,"Hüsambey Mah. Kıztaşı Cad. No:24 Küçükmustafapaşa, Fatih"
Arkadaş Kanat ve Dürüm Evi,2568439,"Taksim Cad. No:39 Taksim, Beyoğlu"
Birtat Kebap Lahmacun ve Yemek Salonu,2994255,"Ferahevler Mah. Adnan Kahveci Cad. No:94 D:1 Tarabya, Sarıyer"
Çukurkeyif Bahçe,2511193,Kuloğlu Mah. Altıpatlar Sok. Altıpatlar Çıkmazı No:4
Hanımeli,3475644,"Cemil Aslan Güder Sok. Konak Apt. No:5 D:2 Gayrettepe, Beşiktaş"
Lale Lokantası,4187544,Rami Kışla Cad. No:164 Gaziosmanpaşa
Kayra Life Restaurant,2709283,"Akasyalı Sok. No:3 Levent, Beşiktaş"
Naciye Arnavutköy,+(90)5353129205,Satis Meydani St. Arnavutkoy / Besiktas
Köfteci,5064587,"Keresteciler Sitesi Fatih Cad. Meşe Sok. No:2 Merter, Güngören"
Harran Aile Sofrası,4451023,"Mahmutbey Mah. Bosna Cad. Sinan Sok. No:1 Mahmutbey, Bağcılar"
G.S Sultanahmet Köftecisi,3562782,"Fulya Mah. 19 Mayıs Cad. Meriç Plaza No:16 Esentepe, Şişli"
Tadım İşkembe ve Yemek Salonu,5974667,Necip Fazıl Cad. No:1 Arnavutköy
İmaj Buhara Restorant,3715500,"Bağlarbaşı Mah. Bağdat Cad. No:155 D:52 Yalı, Maltepe"
Beyaz Saray,4610350,Alemdağ Cad. No:39 Ümraniye Merkez
Güven Lokantası,5675958,"Topçular Mah. Emintaş Binatlı Sanayi Sitesi Rami Kışla Cad. No:25 D:47 Rami, Eyüp"
Planka,0216 467 83 47,Kazım özalp street
Kervan Lokantası,6796724,"Veliefendi Mah. Hoca Ahmet Yesevi Cad. No:51 Çırpıcı, Zeytinburnu"
Cennet Köfte,3115440,"Samandıra Halk Tanzimi Sok. No:1 Samandıra, Sancaktepe"
Lokanta Lokanta,5651173,"Yumurtacı Abdi Bey Cad. Dikyol Sok. No:5 Göztepe, Kadıköy"
Tekkan Büfe ve Cafe,2113348,"Gazeteciler Sitesi Keskin Kalem Sok. Kalem Apt. No:2 D:2 Gayrettepe, Beşiktaş"
Samet Lokantası,6410369,Merkez Mah. Köroğlu Cad. No:37 Çekmeköy
Mavi Boncuk Cafe,3275074,"Acıbadem Mah. Zeamet Sok. No:50 Koşuyolu, Kadıköy"
Schlotzsky's,4323536,Yuzyil Mah. Dogan Medya Center
Yeşilyurt Lokantası,6671346,"50.Yıl Mah. 2099. Sok. No:14 Sultançiftliği, Sultangazi"
Cigkofteci Omer Usta,4962180,Camlik Cad. No:36 D:2
Labanbina Sandviç & Cafe,4139914,"Cumhuriyet Cad. Yedek Reis Sok. No:7 D:1 Kavacık, Beykoz"
Hacıbey Kebap Salonu,6154242,"Kartaltepe Mah. Bilgehan Cad. Birol Sok. No:1 Muratpaşa, Bayrampaşa"
Çamlı Köşe Lokantası,2776358,"Murat Sok. No:1/A Emirgan, Sarıyer"
Önder Büfe,3868213,"Cemil Topuzlu Cad. Mahur Sok. No:1 Çiftehavuzlar, Kadıköy"
Bermuda Restoran,5503243,Fahrettin Kerim Gökay Cad. Terzioğlu Apt. No:73 D:6 Kadıköy Merkez
Küçe Lokantası,3225291,Belediye Cad. No:26 D:247 Göktürk
Bulut Izgara,02123216020,"Osmanpasa Ciftligi, Himmet Sokak, NO:6"
Presto,6610920,Bakırköy Sahil Yolu Galleria Alışveriş Merkezi K:1 D:355
Gözde Malatya Pide Fırını,5559401,Ali Ruhi Bozkır Cad. No:30 Güngören Merkez
Pilav Dünyası,6802590,"İskele Cad. No:16 Paşabahçe, Beykoz"
Karadağ Lokantası,5657795,Topçular Mah. Rami Kışla Cad. No:88 D:160 Rami
Ensar Lokantası,5442584,Maatbacılar Sitesi Litros Yolu F Blok No:4 Bayrampaşa Merkez
Rumeli Köftecisi,4661700,Osmaniye Mah. İncirli Yolu Ufuk Apt. No:6 D:3 Kartaltepe
Quiznos Sub,2835984,"Nispetiye Cad. Paşa Sok. No:3 Levent, Beşiktaş"
Cesa Cigkofte,4730060,Atalar Mah. Uskudar Cad. No:118 D:1
Palmiye Iskender,3993449,100 Evler Mah. Esenlik Sok. No:3/D
Sbarro,4372115,Kocatepe Mah. Sehir Parki Cad. Forum Istanbul K:3 D:SF/52
Sbarro,5059285,Eski Londra Asfalti M1 Meydan Alis Veris Merkezi K:2 D:5/3
"Starbucks, Nuruosmaniye",0212 527 27 11,"Nuruosmaniye Cad. Güraylar Altın No:39 K:Zemin Çemberlitaş, Fatih"
Hayat Lokantası,6551796,Mahmutbey Yolu 10. Sok. No:4 Bağcılar
Komagene,6000077,Ataturk Cad. Neset Ozturk Apt. No:13
Komagene,2999951,Ferahevler Mah. Adnan Kahveci Cad. No:65/B
Salata Dünyası,2610690,Mecidiye Mah. Göklükçü Sok. No:2/A Ortaköy
Show Kebap,5721879,"Karslı Ahmet Cad. No:45 D:1 İçerenköy, Ataşehir"
Cundalı Hasan Balık Lokantası,2996180,"Kefeliköy Cad. No:93 Tarabya, Sarıyer"
Alaca Cafe,"
",Mecidiye Mah. Köprü sok.
Festival Lokantası,5105005,Ambarlar Nakliyeciler Sitesi 3. Blok D:313 Zeytinburnu Merkez
Bir Fola Mantı,6802492,"Fatih Sultan Cad. Onarımlı Sok. No:1 Kavacık, Beykoz"
Özbomonti Kebap ve Lahmacun Salonu,2244844,"Güvenç Sok. No:25 D:1 Bomonti, Şişli"
Pideland,4892241,"Bağdat Cad. No:247 D:1 İdealtepe, Maltepe"
Özsüt,2821006,"Nispetiye Cad. Akmerkez Alışveriş Merkezi K:2 D:434 Etiler, Beşiktaş"
Safran Karadeniz Et Lokantası,5463186,Sümer Mah. Prof. Turan Güneş Cad. No:12 Çırpıcı
Doğan Kardeşler Lokantası,5546790,"Soğanlı Cad. No:21 Soğanlı, Bahçelievler"
Özsüt,3455242,"İstinye Bayırı Cad. İstinyePark Alışveriş Merkezi K:-1 D:204 İstinye, Sarıyer"
Nokta,4124103,"Alemdağ Cad. No:97/B Ümraniye Merkez, Ümraniye"
Özsüt,8530440,"E-5 Karayolu Migros Alışveriş Merkezi K:1 Kavaklı, Beylikdüzü"
Afiyet Lokantası,4815226,"Merkezefendi Mah. Akınsal Sanayi Sitesi B Blok D:51 Seyitnizam, Zeytinburnu"
34.5 Cafe & Ege Fast Food,+(90)2163402150,Ali Dede Caddesi Mehmet Akman Sk. No:75 Koşuyolu
Özsüt,4251480,"Rüzgarlıbahçe Mah. Cumhuriyet Cad. No:23 Kavacık, Beykoz"
Ayçe Ev Yemekleri,6624298,Şenlik Mah. Efeler Sok. No:6 D:1 Florya
Baskanoglu Oz Gaziantep Durumcusu,4725182,Ataturk Mah. Baharistan Sok. No:2
Hüsnü Hayat Lokantası,3756600,"Batı Mah. İsmet Paşa Cad. No:44/A Çarşı, Pendik"
Zeki Altunoğlu Lokantası,5672419,Demirkapı Cad. Keçeci İş Merkezi No:63 Bayrampaşa Merkez
Fan Fang,3562972,"Prof. Bülent Tarcan Sok. No:16 D:1 Gayrettepe, Beşiktaş"
Lahhmacun,3222907,"İstanbul Cad. Üst Küme Sok. No:1 Göktürk, Eyüp"
Titiz Et Lokantası,4233503,"Şifa Mah. İnönü Cad. Park Sok. No:2/A Mimar sinan, Tuzla"
Edirne Kırkpınar Lokantası,2583398,"Sinan Paşa Mah. Sinan Paşa Köprüsü Sok. No:6 Abbasağa, Beşiktaş"
Gunaydin Kofte & Doner,5596013,1. Kisim Mah. Fisekhane Cad. Capacity Alisveris Merkezi No:7 K:2 D:21
Duran Sandwiches,2755192,"Ali Sami Yen Sok. No:1/A Gayrettepe, Beşiktaş"
Pizza Hut,"
","Çiçekler Mevki Harman Sok. No:1 Florya, Bakırköy"
Bolulu Hasan Usta Süt Tatlıları,2731828,"Ortaklar Cad. No:3/B Şişli Merkez, Şişli"
La. Field Cafe&Bistro,902125961916,Universite Mah. E-5 Yanyol Pelican Mall Avm No:23
Sultanim Doner,3831833,Ataturk Cad. Havuzlar Sok. No:1
Naz Yorem Sofrasi,4732523,Kordonboyu Mah. Ankara Cad. No:91/A
Karadeniz Sofrasi,02125376161,Eski Edirne Asfalti 322
Irem Bufe,2472490,Rumeli Cad. Itir Sok. No:3
Aciktimm Durum Mangal,02124662700,Incirli cd no 20
Çiğköfteci Ömer Usta,5301666,Murat Reis Mah. Gazi Cad. No:27
Korkmazlar Et Ve Balik Sofrasi,6266263,Merkez Mah. Ataturk Cad. No:146
Cagri Bufe,4151187,Kadosan Oto Sanayi Sitesi E Blok D:1
Huzur Kebap & Lahmacun,7121119,Terminal Meydanı No:30
Kale Pilsen Restaurant,416 0092,Bagdat Cad. No. 571
Bade'm Antakya Mutfagi,+(90)216 575 5020,"Icerenkoy Mh., G-60 Sk 20-26"
Dostlar Lokanta,324 6528,Yesilce Mah. Degirmen Sok. No. 33
Kardesler Et Lokantasi,392 7272,Fatih Mah. Cumhuriyet Cad. No. 104/C Esenyalı
Park Ada,6409550,"Kocatepe Mah. Hudut Yolu No:1 Yıldırım, Bayrampaşa"
Hanimeli Ev Yemekleri,227 0139,Jandarma Mektebi Sok. No. 4 Abbasaga
Sultanahmet Köftecisi,5932492,Merkez Mah. Marmara Cad. Erenler İş Merkezi No:22 D:30 Avcılar Merkez
Karadeniz Pide Güveç Salonu,5452822,Merkez Mah. Çukurçeşme Cad. No:60/A Gaziosmanpaşa Merkez
Dönerci Hacı Mehmet Efendi,3777090,"Orta Mah. Yanlız Selvi Cad. No:9 Yakacık, Kartal"
Anadoludan,4420155,Eski Londra Asfaltı Kültür Sok. MetroPort Alışveriş No:1 K:2 D:99
Anadoludan,6208388,Saadetdere Mah. 68. Sok. Torium Alışveriş Merkezi No:50 K:3
Cevriye Meyhane,(0212) 361 5367,Abdulhakhamit Cad. No:19/1
Gözde Kebap,5553487,"Ferit Selim Paşa Cad. Sevinç Sok. No:34/B Soğanlı, Bahçelievler"
Anadolu Köfte Salonu,02165262638,Esenşehir Mah. Alemdağ Cad. No:535
garaj,"
",yenikoy dtreet n.30 - tarabya
Emek Saray Et Lokantası,5204991,"Kemal Paşa Mah. Genç Türk Cad. Şirvanzade Sok. No:12 Tahtakale, Fatih"
Anadolu ve Kardeşler Kebap,02124231079,Mustafa Kemal Paşa Mah. Beyoğlu Cad. No:62
Çamlı Köfte Salonu,4138835,"Orhan Veli Kanık Cad. Gün Sok. No:1 Kavacık, Beykoz"
Andiamo,02165740255,Çayıryolu Cad. No:22
Köşem Nohutlu Pilav Evi,2108995,"Örnektepe Mah. Etibank Cad. No:47 D:1 Halıcıoğlu, Beyoğlu"
Metro Restaurant,5446800,Yavuzlar Cad. Metro Grossmarket
Öz Karadeniz Pide,3127229,"Mimar Sinan Bulv. No:73 Yenidoğan, Sancaktepe"
Pizza Bulls,216 3271010,"Uzun Çayır Cad. No:29 Hasanpaşa, Kadıköy"
Pizza Bulls,6210056,"Murat Paşa Mah. Millet Cad. Sadi Çeşme Sok. Başak İş Hanı No:25 K:Giriş D:3 Çapa, Fatih"
Kitchenette,6610560,"1. Kısım Mah. Fişekhane Cad. Capacity Alışveriş Merkezi No:7 K:Zemin D:6 Ataköy, Bakırköy"
Pizza Bulls,5173232,"Petroliş Mah. Kızılay Bulv. No:37 Kartal Merkez, Kartal"
Pizza Bulls,3423939,"Maden Mah. Kilyos Cad. 1. Sok. No:1 Sarıyer Merkez, Sarıyer"
Mekan,02163405310,"Acıbadem Mah Acıbadem Cad. No: 95/1A Kadıköy, İstanbul"
Pilav House,3398414,"Acıbadem Mah. Fatih Sok. No:14 D:2 Acıbadem, Üsküdar"
Pilav House,5419894,"Osman Ağa Mah. Mürver Çiçeği Sok. No:14/A Osmanağa, Kadıköy"
Pilav House,3371797,"Ziverbey Mah. Fahrettin Kerim Gökay Cad. No:108 D:2 Ziverbey, Kadıköy"
Pilav House,3451337,"Osman Ağa Mah. Serasker Cad. No:49/A Osmanağa, Kadıköy"
Annemin Mutfağı,02122722485,Fulya Cad. No:23
Sandzak,2688048,"4. Levent Büyükdere Cad. İstanbul Sapphire K:-3 D:14 Levent, Beşiktaş"
Annem Mantı,2707766,Nispetiye Mah. Nispetiye Cad. Nispetiye Apt. No:26/B
McDonald's,6405906,"Altıntepsi Mah. Ferhat Paşa Çiftliği Mevki Çiftlik Cad. Ora No:14 K:2 D:R440B Altıntepsi, Bayrampaşa"
McDonald's,4256789,"Rüzgarlıbahçe Mah. Cumhuriyet Cad. Hasoğlu Plaza D:39 Kavacık, Beykoz"
McDonald's,"
","Libadiye Cad. Ünlü Sok. No:7 Bulgurlu, Üsküdar"
Mis Köfte,4460583,"İnönü Cad. No:43 Mahmutbey, Bağcılar"
